,zip,year,efficiency
0,10000,2010,5.4
1,10000,2011,5.86619718309859
2,10000,2012,6.564102564102564
3,10000,2013,5.3196078431372555
4,10000,2014,4.576785714285713
5,10000,2015,4.15625
6,10000,2016,7.150909090909092
7,10000,2017,6.51698113207547
8,10000,2018,4.1766129032258075
9,10001,2010,4.173443983402489
10,10001,2011,3.951089918256126
11,10001,2012,4.39007155635062
12,10001,2013,4.4650492797573955
13,10001,2014,4.344977843426882
14,10001,2015,4.45572289156627
15,10001,2016,4.811449942462611
16,10001,2017,5.0716792979657095
17,10001,2018,5.360703812316725
18,10002,2010,5.04854614412136
19,10002,2011,5.559207459207469
20,10002,2012,5.098125404007759
21,10002,2013,4.312351113412745
22,10002,2014,4.556406839884547
23,10002,2015,5.1102928870292965
24,10002,2016,5.405724864710906
25,10002,2017,5.388122804735276
26,10002,2018,5.992067680844468
27,10003,2010,4.897743055555555
28,10003,2011,4.828211227402484
29,10003,2012,4.882035434693052
30,10003,2013,5.275576208178443
31,10003,2014,4.985288915094343
32,10003,2015,5.87530178657653
33,10003,2016,6.767167059832719
34,10003,2017,6.07170323456231
35,10003,2018,5.584856753069582
36,10004,2010,4.197297297297297
37,10004,2011,5.627810650887575
38,10004,2012,4.9227941176470615
39,10004,2013,4.267821782178217
40,10004,2014,4.9962837837837855
41,10004,2015,4.087912087912088
42,10004,2016,5.3804577464788705
43,10004,2017,4.895435684647301
44,10004,2018,5.342222222222222
45,10005,2010,4.7254545454545465
46,10005,2011,4.618819188191882
47,10005,2012,3.856016597510372
48,10005,2013,5.232113821138212
49,10005,2014,6.021315789473679
50,10005,2015,4.543835616438357
51,10005,2016,5.2065876152832615
52,10005,2017,4.874171270718229
53,10005,2018,5.450000000000002
54,10006,2010,2.3571428571428568
55,10006,2011,6.613917525773198
56,10006,2012,5.348148148148148
57,10006,2013,5.095049504950495
58,10006,2014,5.032236842105266
59,10006,2015,6.816908212560387
60,10006,2016,5.135026737967918
61,10006,2017,5.273404255319152
62,10006,2018,5.828042328042327
63,10007,2010,3.365517241379309
64,10007,2011,4.83228346456693
65,10007,2012,5.119008264462811
66,10007,2013,5.879069767441856
67,10007,2014,5.318781725888327
68,10007,2015,4.571756756756753
69,10007,2016,6.175635767022151
70,10007,2017,5.393198653198653
71,10007,2018,5.658510638297873
72,10009,2010,4.764083457526087
73,10009,2011,4.524224577934843
74,10009,2012,5.099501826635693
75,10009,2013,4.506087180809914
76,10009,2014,4.715340386384529
77,10009,2015,5.709755596631744
78,10009,2016,6.990746474028197
79,10009,2017,6.406787634408567
80,10009,2018,5.5383295625942734
81,10010,2010,5.392513368983956
82,10010,2011,4.461547619047616
83,10010,2012,5.303646563814859
84,10010,2013,5.088315789473683
85,10010,2014,4.919682059046176
86,10010,2015,4.394589433481858
87,10010,2016,4.985846724351056
88,10010,2017,5.791428571428578
89,10010,2018,6.661686474250159
90,10011,2010,4.445454545454545
91,10011,2011,4.964525462962957
92,10011,2012,4.869757174392931
93,10011,2013,4.645297407219125
94,10011,2014,4.602748585286992
95,10011,2015,5.270261543429122
96,10011,2016,5.379582542694508
97,10011,2017,5.580497621661195
98,10011,2018,5.575990903183909
99,10012,2010,5.005714285714286
100,10012,2011,4.9945396145610195
101,10012,2012,4.93592636579573
102,10012,2013,4.7616548463356985
103,10012,2014,4.744231667445131
104,10012,2015,5.787293519695045
105,10012,2016,5.906279863481236
106,10012,2017,5.907567567567565
107,10012,2018,5.383197631384169
108,10013,2010,4.065165876777256
109,10013,2011,4.5388994307400345
110,10013,2012,4.183106657122405
111,10013,2013,3.64564220183487
112,10013,2014,4.3605461940732155
113,10013,2015,4.738187855787484
114,10013,2016,5.051271802325584
115,10013,2017,4.049348414064443
116,10013,2018,5.111479500891256
117,10014,2010,5.727669902912624
118,10014,2011,5.925027027027041
119,10014,2012,5.8311286407767025
120,10014,2013,6.394647201946464
121,10014,2014,5.4230633023461685
122,10014,2015,7.155555555555564
123,10014,2016,7.187831066571219
124,10014,2017,6.054202004626072
125,10014,2018,6.133454051607084
126,10016,2010,5.437244897959192
127,10016,2011,5.089689158453376
128,10016,2012,5.122479126525368
129,10016,2013,4.399625468164798
130,10016,2014,5.303416300634473
131,10016,2015,5.323662096417522
132,10016,2016,5.392380640941803
133,10016,2017,4.939239302694148
134,10016,2018,6.39613259668508
135,10017,2010,3.293793103448275
136,10017,2011,5.049376114081993
137,10017,2012,5.137576687116565
138,10017,2013,4.263504611330697
139,10017,2014,4.935770925110137
140,10017,2015,4.131059063136457
141,10017,2016,5.1053627760252365
142,10017,2017,4.30854971500949
143,10017,2018,6.0420124481327715
144,10018,2010,5.9913385826771615
145,10018,2011,4.583591331269348
146,10018,2012,4.316541353383457
147,10018,2013,4.699434229137201
148,10018,2014,3.909356725146194
149,10018,2015,4.534216335540841
150,10018,2016,4.627440904419322
151,10018,2017,4.805650224215246
152,10018,2018,4.705940594059407
153,10019,2010,4.816114790286974
154,10019,2011,4.113917216556684
155,10019,2012,5.124327292696323
156,10019,2013,4.3666666666666645
157,10019,2014,4.627498121713006
158,10019,2015,5.359876352395682
159,10019,2016,5.800470035252641
160,10019,2017,4.836058301647669
161,10019,2018,5.251121979286537
162,10020,2010,2.3
163,10020,2011,3.2862068965517235
164,10020,2012,6.644444444444444
165,10020,2013,2.9666666666666663
166,10020,2014,3.18974358974359
167,10020,2015,6.092592592592593
168,10020,2016,2.9963235294117645
169,10020,2017,4.6945736434108545
170,10020,2018,4.234328358208955
171,10021,2010,5.243459915611818
172,10021,2011,5.104660587639306
173,10021,2012,6.192620481927713
174,10021,2013,5.929729729729721
175,10021,2014,5.4151793928242835
176,10021,2015,7.032892561983471
177,10021,2016,7.6141384388807065
178,10021,2017,6.77073578595318
179,10021,2018,6.931393129770989
180,10022,2010,4.505980066445187
181,10022,2011,4.371861924686188
182,10022,2012,4.886218678815484
183,10022,2013,4.497925669835784
184,10022,2014,5.216072676450044
185,10022,2015,5.4981569965870225
186,10022,2016,6.105153099327865
187,10022,2017,5.400311526479758
188,10022,2018,6.139280125195619
189,10023,2010,4.028604118993137
190,10023,2011,4.31884498480243
191,10023,2012,4.553440094899165
192,10023,2013,5.071236872812136
193,10023,2014,4.3113043478260895
194,10023,2015,5.844449030127935
195,10023,2016,5.683282442748104
196,10023,2017,4.63136635054443
197,10023,2018,4.7329557522124
198,10024,2010,5.2452970297029715
199,10024,2011,4.987017255546419
200,10024,2012,5.978881469115184
201,10024,2013,5.839036755386572
202,10024,2014,5.237672583826434
203,10024,2015,5.787697715289978
204,10024,2016,6.043440762596452
205,10024,2017,5.786612789880536
206,10024,2018,5.279825291181379
207,10025,2010,6.335273159144898
208,10025,2011,6.161415525114161
209,10025,2012,6.233543307086616
210,10025,2013,5.683971902937421
211,10025,2014,4.359342165372326
212,10025,2015,4.990442797034657
213,10025,2016,5.478987116836976
214,10025,2017,5.370440978239921
215,10025,2018,5.398280210960773
216,10026,2010,4.546478873239433
217,10026,2011,5.425681405208978
218,10026,2012,5.0746687054026465
219,10026,2013,5.462325418994418
220,10026,2014,5.355552359033371
221,10026,2015,5.652507374631275
222,10026,2016,5.480021113750333
223,10026,2017,5.07149576669802
224,10026,2018,6.156948076204702
225,10027,2010,4.291853932584266
226,10027,2011,5.126135351736418
227,10027,2012,5.32596644784829
228,10027,2013,5.452402538531275
229,10027,2014,5.0052472858866075
230,10027,2015,5.332333215672442
