,zip,year,count,process_time
90,10011,2010,495,4.445454545454545
91,10011,2011,1728,4.964525462962957
92,10011,2012,1812,4.869757174392931
93,10011,2013,1967,4.645297407219125
94,10011,2014,2474,4.602748585286992
95,10011,2015,3097,5.270261543429122
96,10011,2016,2635,5.379582542694508
97,10011,2017,2733,5.580497621661195
98,10011,2018,3078,5.575990903183909
99,10012,2010,560,5.005714285714286
100,10012,2011,1868,4.9945396145610195
101,10012,2012,1684,4.93592636579573
102,10012,2013,2115,4.7616548463356985
103,10012,2014,2141,4.744231667445131
104,10012,2015,2361,5.787293519695045
105,10012,2016,2930,5.906279863481236
106,10012,2017,2960,5.907567567567565
107,10012,2018,2702,5.383197631384169
108,10013,2010,422,4.065165876777256
109,10013,2011,1581,4.5388994307400345
110,10013,2012,1397,4.183106657122405
111,10013,2013,1744,3.64564220183487
112,10013,2014,1721,4.3605461940732155
113,10013,2015,2108,4.738187855787484
114,10013,2016,2752,5.051271802325584
115,10013,2017,4067,4.049348414064443
116,10013,2018,2805,5.111479500891256
117,10014,2010,412,5.727669902912624
118,10014,2011,1850,5.925027027027041
119,10014,2012,1648,5.8311286407767025
120,10014,2013,2055,6.394647201946464
121,10014,2014,2259,5.4230633023461685
122,10014,2015,2511,7.155555555555564
123,10014,2016,2794,7.187831066571219
124,10014,2017,2594,6.054202004626072
125,10014,2018,2209,6.133454051607084
126,10016,2010,392,5.437244897959192
127,10016,2011,1319,5.089689158453376
128,10016,2012,1557,5.122479126525368
129,10016,2013,2136,4.399625468164798
130,10016,2014,2049,5.303416300634473
131,10016,2015,2261,5.323662096417522
132,10016,2016,3058,5.392380640941803
133,10016,2017,3155,4.939239302694148
134,10016,2018,2534,6.39613259668508
135,10017,2010,145,3.293793103448275
136,10017,2011,561,5.049376114081993
137,10017,2012,652,5.137576687116565
138,10017,2013,759,4.263504611330697
139,10017,2014,1135,4.935770925110137
140,10017,2015,1964,4.131059063136457
141,10017,2016,1268,5.1053627760252365
142,10017,2017,1579,4.30854971500949
143,10017,2018,964,6.0420124481327715
144,10018,2010,127,5.9913385826771615
145,10018,2011,646,4.583591331269348
146,10018,2012,532,4.316541353383457
147,10018,2013,707,4.699434229137201
148,10018,2014,855,3.909356725146194
149,10018,2015,906,4.534216335540841
150,10018,2016,973,4.627440904419322
151,10018,2017,1115,4.805650224215246
152,10018,2018,1010,4.705940594059407
153,10019,2010,453,4.816114790286974
154,10019,2011,1667,4.113917216556684
155,10019,2012,1821,5.124327292696323
156,10019,2013,2301,4.3666666666666645
157,10019,2014,2662,4.627498121713006
158,10019,2015,3235,5.359876352395682
159,10019,2016,3404,5.800470035252641
160,10019,2017,3156,4.836058301647669
161,10019,2018,3476,5.251121979286537
162,10020,2010,2,2.3
163,10020,2011,29,3.2862068965517235
164,10020,2012,18,6.644444444444444
165,10020,2013,12,2.9666666666666663
166,10020,2014,39,3.18974358974359
167,10020,2015,27,6.092592592592593
168,10020,2016,136,2.9963235294117645
169,10020,2017,129,4.6945736434108545
170,10020,2018,67,4.234328358208955
171,10021,2010,237,5.243459915611818
172,10021,2011,987,5.104660587639306
173,10021,2012,664,6.192620481927713
174,10021,2013,814,5.929729729729721
175,10021,2014,1087,5.4151793928242835
176,10021,2015,1210,7.032892561983471
177,10021,2016,1358,7.6141384388807065
178,10021,2017,1196,6.77073578595318
179,10021,2018,1048,6.931393129770989
180,10022,2010,301,4.505980066445187
181,10022,2011,956,4.371861924686188
182,10022,2012,878,4.886218678815484
183,10022,2013,1157,4.497925669835784
184,10022,2014,1431,5.216072676450044
185,10022,2015,1465,5.4981569965870225
186,10022,2016,1339,6.105153099327865
187,10022,2017,1605,5.400311526479758
188,10022,2018,1278,6.139280125195619
189,10023,2010,437,4.028604118993137
190,10023,2011,1645,4.31884498480243
191,10023,2012,1686,4.553440094899165
192,10023,2013,1714,5.071236872812136
193,10023,2014,2185,4.3113043478260895
194,10023,2015,2423,5.844449030127935
195,10023,2016,2620,5.683282442748104
196,10023,2017,2847,4.63136635054443
197,10023,2018,2825,4.7329557522124
198,10024,2010,404,5.2452970297029715
199,10024,2011,1217,4.987017255546419
200,10024,2012,1198,5.978881469115184
201,10024,2013,1578,5.839036755386572
202,10024,2014,2028,5.237672583826434
203,10024,2015,2276,5.787697715289978
204,10024,2016,2203,6.043440762596452
205,10024,2017,2846,5.786612789880536
206,10024,2018,2404,5.279825291181379
207,10025,2010,842,6.335273159144898
208,10025,2011,2628,6.161415525114161
209,10025,2012,2540,6.233543307086616
210,10025,2013,3132,5.683971902937421
211,10025,2014,4378,4.359342165372326
212,10025,2015,4991,4.990442797034657
213,10025,2016,4502,5.478987116836976
214,10025,2017,5193,5.370440978239921
215,10025,2018,4361,5.398280210960773
216,10026,2010,426,4.546478873239433
217,10026,2011,1651,5.425681405208978
218,10026,2012,1962,5.0746687054026465
219,10026,2013,2864,5.462325418994418
