zip,year,value
10027,2018,6.211362235
10028,2010,4.379807692
10028,2011,5.393175853
10028,2012,5.923151515
10028,2013,5.144759207
10028,2014,5.785160328
10028,2015,5.8808124
10028,2016,7.065735661
10028,2017,6.318410256
10028,2018,6.845609756
10029,2010,4.533425414
10029,2011,5.753187988
10029,2012,6.010814815
10029,2013,5.930572289
10029,2014,4.807077799
10029,2015,5.635749507
10029,2016,5.508281938
10029,2017,5.140332926
10029,2018,5.772883933
10030,2010,3.912753623
10030,2011,4.526286891
10030,2012,5.571119403
10030,2013,5.664843424
10030,2014,4.827962085
10030,2015,6.036192862
10030,2016,5.964362732
10030,2017,5.701948241
10030,2018,6.123039365
10031,2010,3.563691194
10031,2011,4.773697917
10031,2012,4.944232987
10031,2013,5.071349036
10031,2014,5.64560225
10031,2015,4.962007607
10031,2016,5.820184572
10031,2017,4.987830859
10031,2018,4.633792254
10032,2010,3.278457772
10032,2011,4.163494871
10032,2012,4.976029963
10032,2013,4.859752454
10032,2014,4.606671687
10032,2015,5.077063176
10032,2016,5.814608295
10032,2017,5.954432411
10032,2018,5.27775815
10033,2010,6.638733706
10033,2011,6.462724014
10033,2012,6.667381786
10033,2013,7.202551786
10033,2014,6.141362201
10033,2015,7.27770969
10033,2016,7.968188441
10033,2017,8.446277966
10033,2018,7.186065244
10034,2010,8.115343915
10034,2011,7.471575503
10034,2012,7.419713701
10034,2013,8.217502199
10034,2014,7.025467796
10034,2015,8.982600816
10034,2016,9.729777959
10034,2017,10.53359709
10034,2018,9.382733718
10035,2010,6.660217984
10035,2011,9.282740094
10035,2012,8.848220516
10035,2013,7.417433832
10035,2014,5.787735849
10035,2015,6.240930744
10035,2016,5.989709763
10035,2017,5.212112082
10035,2018,6.000505689
10036,2010,3.941642229
10036,2011,4.328629032
10036,2012,4.307979071
10036,2013,4.366627358
10036,2014,4.321662853
10036,2015,4.744994407
10036,2016,4.376176398
10036,2017,4.201702509
10036,2018,4.953062985
10037,2010,4.536575875
10037,2011,6.553115265
10037,2012,6.372044506
10037,2013,6.086213786
10037,2014,5.115219512
10037,2015,5.967393279
10037,2016,6.20233463
10037,2017,5.488826467
10037,2018,6.134653465
10038,2010,4.813235294
10038,2011,5.006779661
10038,2012,5.616842105
10038,2013,5.404645477
10038,2014,5.189057043
10038,2015,5.325406204
10038,2016,5.632127558
10038,2017,5.841450068
10038,2018,5.323682008
10039,2010,5.246437995
10039,2011,5.010191083
10039,2012,5.450451807
10039,2013,5.660068454
10039,2014,4.90176648
10039,2015,5.657343312
10039,2016,6.175470009
10039,2017,6.209058672
10039,2018,6.297160989
10040,2010,8.549378882
10040,2011,8.141525034
10040,2012,7.727827957
10040,2013,8.45682782
10040,2014,7.506560192
10040,2015,9.102032983
10040,2016,10.0450928
10040,2017,10.4413275
10040,2018,9.369497326
10041,2015,2.966666667
10041,2016,7.766666667
10041,2017,2.346153846
10041,2018,7
10044,2010,4.925
10044,2011,9.65
10044,2012,8.083333333
10044,2013,3.9
10044,2014,6.447368421
10044,2015,7.587096774
10044,2016,10.18205128
10044,2017,8.318
10044,2018,7.3
10045,2016,2.1
10045,2018,1.2
10048,2011,4.290909091
10048,2012,3.4
10048,2013,0.8
10048,2014,0.65
10048,2015,0.6
10048,2017,0.5
10048,2018,12.2
10065,2010,3.609
10065,2011,4.986412214
10065,2012,5.673937153
10065,2013,5.374358974
10065,2014,5.313113292
10065,2015,6.16176
10065,2016,6.738713592
10065,2017,6.665548504
10065,2018,7.157980456
10069,2010,1.05
10069,2011,4.011764706
10069,2012,4.2525
10069,2013,4.057391304
10069,2014,3.131092437
10069,2015,5.986206897
10069,2016,4.513636364
10069,2017,4.726666667
10069,2018,4.241891892
10075,2010,5.518023256
10075,2011,4.99301848
10075,2012,5.063341646
10075,2013,5.411320755
10075,2014,5.128400955
10075,2015,6.91875
10075,2016,6.903462322
10075,2017,6.123822464
10075,2018,6.609322034
10103,2013,11.4
10103,2014,1.85
10103,2015,8.2
10103,2016,6.6
10103,2017,4.375
10103,2018,4.63
10104,2012,2.9
10105,2017,7.9
10105,2018,9.95
10106,2017,1.8
10106,2018,1
10107,2014,14
10107,2017,3.65
10107,2018,0.266666667
10110,2017,1.75
10110,2018,3.033333333
10111,2014,4.55
10111,2015,1.6
10111,2016,7.92
10111,2017,5.48125
10111,2018,7.8
10112,2013,1.4
10112,2014,1.9
10112,2015,1
10112,2016,4.140909091
10112,2017,3.430526316
10115,2016,14.1
10115,2017,0.4
10115,2018,16.1
10118,2016,0.75
10118,2017,0.8
10118,2018,5.15
10119,2013,5.7
10119,2014,4.3
10119,2015,7.033333333
10119,2016,2.918181818
10119,2017,3.511111111
10119,2018,4.56
10120,2016,2.5
10120,2017,2.888888889
10120,2018,3.025
10121,2016,1.104166667
10121,2017,3.218181818
10121,2018,5.358823529
10122,2017,0.45
10123,2015,1.7
10123,2016,0.4
10123,2017,9.15
10123,2018,1.8
10128,2010,5.080434783
10128,2011,5.437267658
10128,2012,6.060869565
10128,2013,6.076575342
10128,2014,6.101215278
10128,2015,6.771020408
10128,2016,7.625589563
10128,2017,5.697671033
10128,2018,6.938626126
10129,2013,1.15
