zip,hour,value
10018,23,27
10019,0,131
10019,1,65
10019,2,33
10019,3,25
10019,4,32
10019,5,28
10019,6,55
10019,7,53
10019,8,62
10019,9,82
10019,10,72
10019,11,76
10019,12,89
10019,13,78
10019,14,94
10019,15,96
10019,16,115
10019,17,97
10019,18,123
10019,19,101
10019,20,75
10019,21,110
10019,22,144
10019,23,160
10020,5,1
10020,7,1
10020,8,1
10020,10,1
10020,11,1
10020,12,1
10020,13,8
10020,15,3
10020,16,4
10020,18,3
10020,19,1
10020,20,4
10020,21,1
10020,22,3
10020,23,1
10021,0,24
10021,1,11
10021,2,10
10021,3,4
10021,4,6
10021,5,3
10021,6,14
10021,7,18
10021,8,15
10021,9,31
10021,10,24
10021,11,41
10021,12,31
10021,13,21
10021,14,21
10021,15,39
10021,16,18
10021,17,12
10021,18,16
10021,19,25
10021,20,21
10021,21,39
10021,22,48
10021,23,43
10022,0,52
10022,1,13
10022,2,12
10022,3,15
10022,4,5
10022,5,3
10022,6,7
10022,7,23
10022,8,26
10022,9,26
10022,10,26
10022,11,38
10022,12,35
10022,13,47
10022,14,28
10022,15,28
10022,16,28
10022,17,15
10022,18,32
10022,19,24
10022,20,30
10022,21,55
10022,22,60
10022,23,54
10023,0,75
10023,1,40
10023,2,21
10023,3,11
10023,4,7
10023,5,4
10023,6,11
10023,7,60
10023,8,51
10023,9,75
10023,10,58
10023,11,76
10023,12,69
10023,13,78
10023,14,90
10023,15,84
10023,16,70
10023,17,70
10023,18,81
10023,19,61
10023,20,84
10023,21,80
10023,22,114
10023,23,108
10024,0,94
10024,1,61
10024,2,45
10024,3,30
10024,4,23
10024,5,11
10024,6,26
10024,7,49
10024,8,41
10024,9,63
10024,10,54
10024,11,61
10024,12,55
10024,13,37
10024,14,50
10024,15,45
10024,16,55
10024,17,40
10024,18,48
10024,19,60
10024,20,53
10024,21,93
10024,22,88
10024,23,100
10025,0,253
10025,1,127
10025,2,70
10025,3,45
10025,4,28
10025,5,27
10025,6,37
10025,7,64
10025,8,75
10025,9,68
10025,10,75
10025,11,82
10025,12,104
10025,13,80
10025,14,67
10025,15,60
10025,16,65
10025,17,71
10025,18,82
10025,19,110
10025,20,148
10025,21,223
10025,22,279
10025,23,289
10026,0,402
10026,1,277
10026,2,139
10026,3,78
10026,4,51
10026,5,28
10026,6,35
10026,7,59
10026,8,105
10026,9,62
10026,10,55
10026,11,45
10026,12,52
10026,13,70
10026,14,54
10026,15,52
10026,16,71
10026,17,82
10026,18,117
10026,19,156
10026,20,230
10026,21,324
10026,22,503
10026,23,457
10027,0,320
10027,1,158
10027,2,109
10027,3,67
10027,4,42
10027,5,23
10027,6,42
10027,7,75
10027,8,76
10027,9,66
10027,10,66
10027,11,65
