zip,year,type,count,efficiency
10003,2016,Disturbance,28,8.035714286
10003,2016,Miscellaneous,155,7.650322581
10003,2016,Noise,3814,6.652254851
10003,2016,Street condition related,104,7.785576923
10003,2016,Traffic related,562,7.051779359
10003,2017,Disturbance,35,5.051428571
10003,2017,Miscellaneous,171,6.626315789
10003,2017,Noise,3551,6.057166995
10003,2017,Street condition related,70,7.057142857
10003,2017,Traffic related,594,5.942929293
10003,2018,Disturbance,33,6.015151515
10003,2018,Miscellaneous,114,5.098245614
10003,2018,Noise,2851,5.582848123
10003,2018,Street condition related,67,5.102985075
10003,2018,Traffic related,600,5.717
10004,2010,Miscellaneous,1,2.5
10004,2010,Noise,23,2.860869565
10004,2010,Street condition related,4,6.225
10004,2010,Traffic related,9,6.9
10004,2011,Disturbance,1,0.3
10004,2011,Miscellaneous,4,7.375
10004,2011,Noise,76,4.471052632
10004,2011,Street condition related,27,8.374074074
10004,2011,Traffic related,61,5.826229508
10004,2012,Disturbance,1,3.4
10004,2012,Miscellaneous,1,1
10004,2012,Noise,56,4.6625
10004,2012,Street condition related,14,4.821428571
10004,2012,Traffic related,64,5.2578125
10004,2013,Miscellaneous,11,4.254545455
10004,2013,Noise,102,3.639215686
10004,2013,Street condition related,18,8.35
10004,2013,Traffic related,71,4.138028169
10004,2014,Miscellaneous,11,8.409090909
10004,2014,Noise,146,4.896575342
10004,2014,Street condition related,14,4.821428571
10004,2014,Traffic related,125,4.832
10004,2015,Miscellaneous,16,4.00625
10004,2015,Noise,124,3.808870968
10004,2015,Street condition related,114,4.074561404
10004,2015,Traffic related,201,4.274129353
10004,2016,Disturbance,1,5.6
10004,2016,Miscellaneous,16,7.225
10004,2016,Noise,223,5.313004484
10004,2016,Street condition related,106,4.991509434
10004,2016,Traffic related,222,5.5
10004,2017,Disturbance,1,2.3
10004,2017,Miscellaneous,13,3.584615385
10004,2017,Noise,159,4.900628931
10004,2017,Street condition related,271,4.059409594
10004,2017,Traffic related,279,5.774910394
10004,2018,Miscellaneous,12,6.191666667
10004,2018,Noise,140,4.963571429
10004,2018,Street condition related,296,5.113175676
10004,2018,Traffic related,227,5.829515419
10005,2010,Disturbance,2,1.25
10005,2010,Noise,43,3.73255814
10005,2010,Traffic related,10,9.69
10005,2011,Disturbance,2,13.3
10005,2011,Miscellaneous,10,2.98
10005,2011,Noise,210,4.09
10005,2011,Street condition related,12,10.25833333
10005,2011,Traffic related,37,5.764864865
10005,2012,Disturbance,2,0.45
10005,2012,Miscellaneous,4,1
10005,2012,Noise,179,3.404469274
10005,2012,Street condition related,22,6.227272727
10005,2012,Traffic related,34,5.235294118
10005,2013,Disturbance,2,1.05
10005,2013,Miscellaneous,5,1.48
10005,2013,Noise,146,4.77739726
10005,2013,Street condition related,28,8.010714286
10005,2013,Traffic related,65,5.473846154
10005,2014,Disturbance,1,2.8
10005,2014,Miscellaneous,5,7.12
10005,2014,Noise,283,5.95335689
10005,2014,Street condition related,18,6.583333333
10005,2014,Traffic related,73,6.115068493
10005,2015,Disturbance,1,2.3
10005,2015,Miscellaneous,22,5.145454545
10005,2015,Noise,278,4.395683453
10005,2015,Street condition related,132,5.45530303
10005,2015,Traffic related,151,3.947019868
10005,2016,Miscellaneous,23,1.343478261
10005,2016,Noise,504,5.027380952
10005,2016,Street condition related,130,5.191538462
10005,2016,Traffic related,102,6.982352941
10005,2017,Disturbance,1,1
10005,2017,Miscellaneous,17,3.729411765
10005,2017,Noise,284,5.321478873
10005,2017,Street condition related,289,4.011418685
10005,2017,Traffic related,133,5.969172932
10005,2018,Disturbance,1,0.9
10005,2018,Miscellaneous,14,8.9
10005,2018,Noise,329,5.343768997
10005,2018,Street condition related,212,4.597641509
10005,2018,Traffic related,122,6.859016393
10006,2010,Noise,5,0.86
10006,2010,Street condition related,2,9.45
10006,2010,Traffic related,7,1.4
10006,2011,Disturbance,1,14.7
10006,2011,Miscellaneous,3,2.033333333
10006,2011,Noise,148,7.094594595
10006,2011,Street condition related,10,6.85
10006,2011,Traffic related,32,4.49375
10006,2012,Disturbance,1,15
10006,2012,Miscellaneous,2,7.95
10006,2012,Noise,46,4.37826087
10006,2012,Street condition related,11,7.863636364
10006,2012,Traffic related,21,5.447619048
10006,2013,Miscellaneous,1,3.8
10006,2013,Noise,72,4.759722222
10006,2013,Street condition related,8,7.175
10006,2013,Traffic related,20,5.535
10006,2014,Miscellaneous,5,6.8
10006,2014,Noise,95,5.302105263
10006,2014,Street condition related,11,7.272727273
10006,2014,Traffic related,41,3.590243902
10006,2015,Miscellaneous,4,9.6
10006,2015,Noise,115,7.645217391
10006,2015,Street condition related,36,5.233333333
10006,2015,Traffic related,52,5.867307692
10006,2016,Miscellaneous,6,3.75
10006,2016,Noise,254,4.745275591
10006,2016,Street condition related,48,7.479166667
10006,2016,Traffic related,66,5.056060606
10006,2017,Disturbance,1,7.7
10006,2017,Miscellaneous,5,12.78
10006,2017,Noise,123,5.886178862
10006,2017,Street condition related,56,3.508928571
10006,2017,Traffic related,97,5.103092784
10006,2018,Miscellaneous,6,3.55
10006,2018,Noise,117,5.729059829
10006,2018,Street condition related,70,5.071428571
10006,2018,Traffic related,185,6.250810811
10007,2010,Disturbance,1,0.1
10007,2010,Miscellaneous,1,14.5
10007,2010,Noise,33,1.784848485
10007,2010,Street condition related,6,6.466666667
10007,2010,Traffic related,17,4.876470588
10007,2011,Disturbance,2,0.65
10007,2011,Miscellaneous,3,1.533333333
10007,2011,Noise,161,4.036024845
10007,2011,Street condition related,33,5.878787879
10007,2011,Traffic related,55,6.867272727
10007,2012,Disturbance,1,3.9
10007,2012,Miscellaneous,2,1.9
10007,2012,Noise,108,4.678703704
10007,2012,Street condition related,53,6.539622642
10007,2012,Traffic related,78,4.861538462
10007,2013,Disturbance,2,1.75
10007,2013,Miscellaneous,5,1.36
10007,2013,Noise,157,6.277070064
10007,2013,Street condition related,47,5.619148936
10007,2013,Traffic related,90,5.663333333
10007,2014,Disturbance,2,1.15
10007,2014,Miscellaneous,12,5.458333333
10007,2014,Noise,230,5.490434783
10007,2014,Street condition related,47,5.206382979
10007,2014,Traffic related,103,5.051456311
10007,2015,Disturbance,3,7.333333333
