zip,year,count,process_time
10026,2012,1962,5.074668705
10026,2013,2864,5.462325419
10026,2014,3476,5.355552359
10026,2015,4068,5.652507375
10026,2016,3789,5.480021114
10026,2017,4252,5.071495767
10026,2018,5354,6.156948076
10027,2010,712,4.291853933
10027,2011,2246,5.126135352
10027,2012,2742,5.325966448
10027,2013,3309,5.452402539
10027,2014,4974,5.005247286
10027,2015,5666,5.332333216
10027,2016,6141,5.395359062
10027,2017,5582,5.256395557
10027,2018,4867,6.211362235
10028,2010,312,4.379807692
10028,2011,1143,5.393175853
10028,2012,825,5.923151515
10028,2013,1059,5.144759207
10028,2014,1341,5.785160328
10028,2015,1871,5.8808124
10028,2016,2005,7.065735661
10028,2017,1950,6.318410256
10028,2018,1640,6.845609756
10029,2010,724,4.533425414
10029,2011,2431,5.753187988
10029,2012,2700,6.010814815
10029,2013,3320,5.930572289
10029,2014,5270,4.807077799
10029,2015,6084,5.635749507
10029,2016,5675,5.508281938
10029,2017,6548,5.140332926
10029,2018,5919,5.772883933
10030,2010,345,3.912753623
10030,2011,1457,4.526286891
10030,2012,1340,5.571119403
10030,2013,2395,5.664843424
10030,2014,2743,4.827962085
10030,2015,3194,6.036192862
10030,2016,3617,5.964362732
10030,2017,3439,5.701948241
10030,2018,3277,6.123039365
10031,2010,829,3.563691194
10031,2011,3072,4.773697917
10031,2012,3468,4.944232987
10031,2013,4670,5.071349036
10031,2014,6401,5.64560225
10031,2015,7362,4.962007607
10031,2016,8452,5.820184572
10031,2017,9294,4.987830859
10031,2018,8934,4.633792254
10032,2010,817,3.278457772
10032,2011,2827,4.163494871
10032,2012,3204,4.976029963
10032,2013,4686,4.859752454
10032,2014,6640,4.606671687
10032,2015,7028,5.077063176
10032,2016,6510,5.814608295
10032,2017,7479,5.954432411
10032,2018,6227,5.27775815
10033,2010,537,6.638733706
10033,2011,1953,6.462724014
10033,2012,2284,6.667381786
10033,2013,3331,7.202551786
10033,2014,4434,6.141362201
10033,2015,5222,7.27770969
10033,2016,6177,7.968188441
10033,2017,7375,8.446277966
10033,2018,7449,7.186065244
10034,2010,567,8.115343915
10034,2011,2139,7.471575503
10034,2012,2445,7.419713701
10034,2013,3411,8.217502199
10034,2014,5077,7.025467796
10034,2015,6621,8.982600816
10034,2016,7341,9.729777959
10034,2017,7709,10.53359709
10034,2018,7616,9.382733718
10035,2010,367,6.660217984
10035,2011,1489,9.282740094
10035,2012,1433,8.848220516
10035,2013,1738,7.417433832
10035,2014,2226,5.787735849
10035,2015,2729,6.240930744
10035,2016,3411,5.989709763
10035,2017,3319,5.212112082
10035,2018,3164,6.000505689
10036,2010,341,3.941642229
10036,2011,1240,4.328629032
10036,2012,1529,4.307979071
10036,2013,1696,4.366627358
10036,2014,2622,4.321662853
10036,2015,3576,4.744994407
10036,2016,4059,4.376176398
10036,2017,3348,4.201702509
10036,2018,2318,4.953062985
10037,2010,257,4.536575875
10037,2011,642,6.553115265
10037,2012,719,6.372044506
10037,2013,1001,6.086213786
10037,2014,1025,5.115219512
10037,2015,1101,5.967393279
10037,2016,1285,6.20233463
10037,2017,1602,5.488826467
10037,2018,1515,6.134653465
10038,2010,136,4.813235294
10038,2011,472,5.006779661
10038,2012,665,5.616842105
10038,2013,818,5.404645477
10038,2014,859,5.189057043
10038,2015,1354,5.325406204
10038,2016,2101,5.632127558
10038,2017,1462,5.841450068
10038,2018,1195,5.323682008
10039,2010,379,5.246437995
10039,2011,1256,5.010191083
10039,2012,1328,5.450451807
10039,2013,1753,5.660068454
10039,2014,2321,4.90176648
10039,2015,2138,5.657343312
10039,2016,3351,6.175470009
10039,2017,3102,6.209058672
10039,2018,2994,6.297160989
10040,2010,644,8.549378882
10040,2011,2177,8.141525034
10040,2012,2325,7.727827957
